2026北陸6日遊 - 完整行程攻略,,,,,
日期/景點,觀光重點,注意事項,推薦美食,伴手禮,原始備註
Day 1 (1/3),,,,,
小港→成田,"• 美國聯航 11:30→15:55
• N'EX成田特快→東京站(17:16→18:18)
","• 提前2-2.5小時到機場
• 成田特快需預訂
• 可在東京站購買便當","• 東京站便當
• Shake Shack漢堡
• 東京拉麵街",,"請提前2~2.5小時到機場
09:30小港機場"
東京車站晚餐,"• 可選擇外帶或內用
• 車站內選擇多","• 18:30-19:30用餐
• 建議外帶上新幹線","• Shake Shack漢堡(外帶)
• 溫蒂漢堡(外帶)
• 車站便當
• 東京拉麵街
• GRANSTA八重北食堂",,"選項：
1.Shake Shack漢堡(外帶)
2.溫蒂漢堡(外帶)
3.車站便當
4.東京拉麵街
5.GRANSTA八重北食堂"
東京→金澤, 新幹線（19:56→22:23）,,,,
Day 2 (1/4),,,,,
🎯 高岡/富山地區美食總覽,,,,,
金澤→新高岡, 新幹線（08:50→09:04）,,,,
必吃美食,,,"✦ 富山黑拉麵（麵家IROHA）800-1,000日圓
  深黑醬油湯底，搭配白蝦天婦羅
✦ 白蝦料理（白蝦亭，富山站1F）
  天婦羅、生魚片、握壽司
✦ 鱒魚壽司
  竹葉包裹押壽司，富山站便當
✦ 冰見牛/能登牛
  高品質和牛料理","✦ 白蝦仙貝（日出屋製果）
  保存120天，適合大量購買
✦ 富山黑拉麵泡麵（麵家IROHA）
  袋裝生麵約750日圓
✦ 煙燻螢火魷
  下酒好物
✦ 月世界和菓子
  富山代表甜點
✦ 哆啦A夢限定商品
  高岡站文苑堂、哆啦A夢郵筒",
瑞龍寺,"• 富山唯一國寶建築
• 山門、佛殿、法堂為國寶
• 左右對稱迴廊300公尺
• 江戶初期禪宗寺院代表","• 門票：成人500日圓
• 開放：9:00-16:30
• 可預約早朝座禪會
• 從高岡站步行10分鐘",,,日本國寶
哆啦A夢廣場,"• 位於高岡童話之森公園
• 哆啦A夢雕像群
• 漫畫空地場景","• 新高岡站步行約15分
• 適合拍照",,,哆啦A夢漫畫空地
哆啦A夢散步道,"• JR高岡站前文苑堂書店
• 哆啦A夢限定商品
• 新高岡站步行約15分","• 冬季注意保暖
• 適合拍照",,"• 哆啦A夢限定商品
• 哆啦A夢郵筒（限定郵戳）",JR高岡站前文苑堂書店(多拉a夢限定)
